khipu_id,cluster,num_nodes,num_edges,avg_degree,max_degree,density,depth,width,avg_branching,num_roots,num_leaves,has_numeric,has_color,avg_numeric_value,std_numeric_value
1000339,3,58,57,1.9655172413793105,25,0.0172413793103448,4,33,3.3529411764705883,1,41,0.8620689655172413,0.9827586206896552,20.3,26.465260248106382
1000340,0,231,230,1.9913419913419916,81,0.0043290043290043,4,120,3.8983050847457625,1,172,0.6623376623376623,0.9913419913419912,9.137254901960784,17.59495576241754
1000342,2,187,186,1.9893048128342248,186,0.0053475935828877,1,186,186.0,1,186,0.5133689839572193,0.9679144385026738,12.739583333333334,23.279660646718817
1000344,2,320,319,1.99375,319,0.003125,1,319,319.0,1,319,0.80625,0.925,163.5581395348837,332.17493072820923
1000345,0,162,161,1.9876543209876545,99,0.0061728395061728,3,87,4.472222222222222,1,126,0.9074074074074074,0.9876543209876544,26.482993197278912,32.38529811346366
1000346,2,75,74,1.9733333333333332,74,0.0133333333333333,1,74,74.0,1,74,0.56,0.9866666666666668,12.19047619047619,16.865346403114646
1000347,1,10,9,1.8,5,0.1,2,5,4.5,1,8,0.5,0.9,51.4,41.71618390984487
1000348,1,5,4,1.6,4,0.2,1,4,4.0,1,4,0.8,0.8,32.5,21.313141485947117
1000349,1,6,5,1.6666666666666667,4,0.1666666666666666,2,4,2.5,1,4,0.6666666666666666,0.8333333333333334,23.5,14.04457190518814
1000350,1,4,3,1.5,3,0.25,1,3,3.0,1,3,0.75,0.75,82.33333333333333,44.96912521077347
1000351,3,76,75,1.973684210526316,63,0.0131578947368421,2,63,6.818181818181818,1,65,0.6052631578947368,0.986842105263158,23.73913043478261,27.181703231184837
1000352,3,56,55,1.9642857142857144,11,0.0178571428571428,3,37,2.8947368421052637,1,37,0.6071428571428571,0.9821428571428572,14.411764705882351,9.453034517640116
1000353,3,32,31,1.9375,16,0.03125,3,16,3.1,1,22,0.90625,0.96875,44.03448275862069,114.98200241735609
1000354,1,5,4,1.6,4,0.2,1,4,4.0,1,4,0.8,0.8,1117.75,1158.980236026482
1000355,1,8,7,1.75,7,0.125,1,7,7.0,1,7,0.875,0.875,73.28571428571429,44.77471954355585
1000356,3,29,28,1.9310344827586208,25,0.0344827586206896,2,25,9.333333333333334,1,26,0.896551724137931,0.9655172413793104,26.0,35.33357522897362
1000357,1,8,7,1.75,7,0.125,1,7,7.0,1,7,0.875,0.875,310.42857142857144,157.99987083435693
1000358,3,34,33,1.9411764705882355,10,0.0294117647058823,3,22,3.3,1,24,0.3529411764705882,0.9411764705882352,26.58333333333333,25.127867442785952
1000359,2,150,149,1.9866666666666664,149,0.0066666666666666,1,149,149.0,1,149,0.4333333333333333,0.9933333333333332,28.43076923076923,44.44390387573954
1000361,0,371,370,1.994609164420485,313,0.0026954177897574,2,313,6.727272727272728,1,316,0.431266846361186,0.9946091644204852,197.05625,471.61928828869736
1000363,2,165,164,1.987878787878788,164,0.006060606060606,1,164,164.0,1,164,0.993939393939394,0.987878787878788,94.41463414634148,20.73406012474149
1000365,2,71,70,1.971830985915493,70,0.0140845070422535,1,70,70.0,1,70,0.8028169014084507,0.9859154929577464,22.33333333333333,20.718102376469503
1000366,3,97,96,1.9793814432989687,93,0.0103092783505154,2,93,24.0,1,93,0.3917525773195876,0.979381443298969,25.92105263157895,32.29419173697646
1000367,6,61,60,1.9672131147540983,8,0.0163934426229508,3,28,1.935483870967742,1,30,0.7213114754098361,0.0,81.9090909090909,115.86724734912995
1000368,0,405,404,1.9950617283950616,252,0.0024691358024691,4,252,4.43956043956044,1,314,0.3975308641975308,0.9950617283950616,3.248447204968944,7.708212169881439
1000369,2,173,172,1.9884393063583812,171,0.0057803468208092,2,147,86.0,1,171,0.9364161849710982,0.9710982658959536,43.03086419753087,42.79024678873466
1000371,0,164,163,1.9878048780487805,143,0.0060975609756097,2,140,8.15,1,144,0.298780487804878,0.975609756097561,56.48979591836735,60.62333438031037
1000374,2,92,91,1.9782608695652173,91,0.0108695652173913,1,91,91.0,1,91,0.9891304347826086,0.9891304347826086,52.417582417582416,28.53225124640995
1000375,3,99,98,1.97979797979798,93,0.0101010101010101,2,93,16.333333333333332,1,93,0.8686868686868687,0.898989898989899,48.98837209302326,59.022560563647644
1000376,2,181,180,1.988950276243094,180,0.005524861878453,1,180,180.0,1,180,0.9723756906077348,0.9558011049723756,187.1534090909091,60.77795176045571
1000377,3,46,45,1.9565217391304348,41,0.0217391304347826,2,41,9.0,1,41,0.4130434782608695,0.9565217391304348,42.73684210526316,37.59737127605873
1000378,3,15,14,1.8666666666666667,14,0.0666666666666666,1,14,14.0,1,14,0.7333333333333333,0.9333333333333332,603.9090909090909,1603.3129028554624
1000380,0,189,188,1.9894179894179893,87,0.0052910052910052,4,87,2.7246376811594204,1,120,0.925925925925926,0.984126984126984,33.69714285714286,73.77916657436681
