khipu_id,cluster,predicted_function,accounting_probability,numeric_coverage,has_pendant_summation,pendant_match_rate,color_diversity,num_nodes,depth,avg_branching
1000140,0,Accounting,1.0,0.5674931129476584,True,0.0535714285714285,12.0,363,3,4.022222222222222
1000141,1,Accounting,1.0,0.8,False,0.0,2.0,10,1,9.0
1000142,3,Accounting,0.9911764705882353,0.8947368421052632,False,0.0,4.0,19,1,18.0
1000143,3,Accounting,1.0,0.935483870967742,False,0.0,3.0,31,1,30.0
1000144,3,Accounting,1.0,0.6428571428571429,True,0.05,10.0,126,3,5.0
1000145,3,Accounting,1.0,0.96,False,0.0,5.0,25,2,12.0
1000146,3,Accounting,1.0,0.95,False,0.0,5.0,60,4,2.269230769230769
1000147,0,Accounting,1.0,0.7905604719764012,True,0.0147058823529411,8.0,339,4,3.1296296296296298
1000148,0,Accounting,0.992248062015504,0.5526315789473685,True,0.0232558139534883,5.0,304,3,5.941176470588236
1000149,3,Accounting,1.0,0.9375,False,0.0,2.0,16,1,15.0
1000150,3,Accounting,1.0,0.9032258064516128,False,0.0,4.0,31,2,15.0
1000151,3,Accounting,1.0,0.7586206896551724,False,0.0,5.0,29,2,14.0
1000152,3,Accounting,1.0,0.8611111111111112,False,0.0,6.0,36,2,5.0
1000154,1,Accounting,1.0,0.8333333333333334,False,0.0,5.0,6,1,5.0
1000155,1,Accounting,1.0,0.5,False,0.0,1.0,2,1,1.0
1000156,1,Accounting,1.0,0.625,False,0.0,2.0,8,2,1.75
1000157,1,Accounting,1.0,0.9,False,0.0,2.0,10,1,9.0
1000158,3,Accounting,1.0,0.9032258064516128,False,0.0,8.0,31,3,4.285714285714286
1000159,3,Accounting,0.9828815628815629,0.7846153846153846,True,0.2857142857142857,6.0,65,2,2.909090909090909
1000160,1,Accounting,0.92,0.75,False,0.0,0.0,4,1,3.0
1000161,3,Accounting,1.0,0.8461538461538461,False,0.0,3.0,13,1,12.0
1000162,3,Accounting,1.0,0.7777777777777778,True,0.1428571428571428,2.0,36,2,2.6923076923076925
1000163,3,Accounting,0.9611764705882354,0.95,False,0.0,1.0,20,1,19.0
1000164,3,Accounting,0.9901960784313725,0.9080459770114944,False,0.0,7.0,87,2,43.0
1000165,3,Accounting,0.973447600617412,0.9846153846153848,False,0.0,3.0,65,2,2.2857142857142856
1000166,3,Accounting,1.0,0.7931034482758621,False,0.0,3.0,29,2,14.0
1000167,3,Accounting,1.0,0.8,False,0.0,2.0,25,2,2.4
1000168,1,Accounting,1.0,0.75,False,0.0,1.0,4,1,3.0
1000169,3,Accounting,0.9911764705882353,0.5714285714285714,False,0.0,2.0,21,1,20.0
1000170,3,Accounting,0.992248062015504,0.66,True,0.375,3.0,50,2,2.45
1000171,3,Accounting,1.0,0.9375,False,0.0,2.0,16,1,15.0
1000172,3,Accounting,1.0,0.8214285714285714,False,0.0,3.0,28,1,27.0
1000173,1,Accounting,1.0,0.8888888888888888,False,0.0,2.0,9,1,8.0
1000174,6,Non-Accounting,0.23314040485927998,0.2307692307692307,False,0.0,0.0,26,1,25.0
1000176,3,Accounting,1.0,0.4871794871794871,False,0.0,2.0,39,1,38.0
1000177,5,Accounting,1.0,0.6896551724137931,False,0.0,2.0,29,2,1.5333333333333334
1000178,3,Accounting,1.0,0.7878787878787878,False,0.0,2.0,33,2,1.8823529411764703
1000179,3,Accounting,1.0,0.8888888888888888,False,0.0,6.0,27,2,4.333333333333333
1000180,3,Accounting,0.9915966386554622,0.2830188679245283,False,0.0,3.0,106,2,7.0
1000182,1,Accounting,1.0,0.75,False,0.0,2.0,4,1,3.0
1000183,4,Accounting,0.982248062015504,0.311864406779661,True,0.1666666666666666,6.0,590,3,19.0
1000184,2,Accounting,1.0,0.4615384615384615,False,0.0,5.0,91,1,90.0
1000185,3,Accounting,0.973447600617412,0.986842105263158,False,0.0,3.0,76,3,2.2058823529411766
1000186,3,Accounting,1.0,0.6923076923076923,False,0.0,3.0,13,1,12.0
1000187,3,Accounting,1.0,0.9166666666666666,False,0.0,2.0,12,2,5.5
1000188,3,Accounting,0.9600332225913621,0.675,False,0.0,1.0,40,2,1.95
1000189,3,Accounting,1.0,0.9090909090909092,False,0.0,2.0,11,2,5.0
1000190,1,Accounting,1.0,0.4,False,0.0,1.0,10,1,9.0
1000191,1,Accounting,1.0,0.9090909090909092,False,0.0,2.0,11,1,10.0
1000192,3,Accounting,0.9828815628815629,0.7894736842105263,True,0.1111111111111111,6.0,76,2,5.769230769230769
1000194,1,Accounting,1.0,0.5555555555555556,False,0.0,3.0,9,2,4.0
1000195,1,Accounting,1.0,0.5,False,0.0,4.0,4,1,3.0
1000196,1,Accounting,0.9601685393258427,0.0,False,0.0,1.0,3,1,2.0
1000197,3,Accounting,0.9751296248970668,0.5256410256410257,True,0.25,5.0,78,2,3.5
1000198,0,Accounting,1.0,0.8773946360153256,True,0.1888888888888888,5.0,261,3,2.3008849557522124
1000199,3,Accounting,1.0,0.7586206896551724,False,0.0,3.0,29,2,3.5
1000200,3,Accounting,1.0,0.6140350877192983,False,0.0,3.0,57,2,8.0
1000201,0,Accounting,1.0,0.8472222222222222,False,0.0,6.0,144,4,3.575
1000204,3,Accounting,0.9707345770616918,0.1764705882352941,False,0.0,3.0,17,1,16.0
1000205,1,Accounting,1.0,0.8,False,0.0,2.0,5,1,4.0
1000206,3,Accounting,1.0,0.9230769230769232,False,0.0,3.0,13,2,3.0
1000207,3,Accounting,0.9808608058608059,0.717948717948718,False,0.0,5.0,39,2,19.0
1000208,3,Accounting,1.0,0.8913043478260869,True,0.1333333333333333,2.0,46,4,2.3684210526315788
1000209,3,Accounting,1.0,0.912280701754386,True,0.0555555555555555,4.0,57,3,2.8
