khipu_id,model,matches,total,match_rate,has_pattern,tolerance
1000293,positional_base10,2,68,0.029411764705882353,False,
1000293,standard_tolerance_2,3,68,0.04411764705882353,False,2.0
1000293,standard_tolerance_5,5,68,0.07352941176470588,False,5.0
1000293,cross_level_all_descendants,1,37,0.02702702702702703,False,
1000293,partial_summation,3,68,0.04411764705882353,False,
1000295,modulo_10,0,2,0.0,False,
1000295,positional_base10,0,2,0.0,False,
1000295,standard_tolerance_2,0,2,0.0,False,2.0
1000295,standard_tolerance_5,0,2,0.0,False,5.0
1000295,cross_level_all_descendants,0,2,0.0,False,
1000295,partial_summation,0,2,0.0,False,
1000296,modulo_10,0,0,0.0,False,
1000296,positional_base10,0,0,0.0,False,
1000296,standard_tolerance_2,0,0,0.0,False,2.0
1000296,standard_tolerance_5,0,0,0.0,False,5.0
1000296,cross_level_all_descendants,0,0,0.0,False,
1000296,partial_summation,0,0,0.0,False,
1000297,modulo_10,0,0,0.0,False,
1000297,positional_base10,0,0,0.0,False,
1000297,standard_tolerance_2,0,0,0.0,False,2.0
1000297,standard_tolerance_5,0,0,0.0,False,5.0
1000297,cross_level_all_descendants,0,0,0.0,False,
1000297,partial_summation,0,0,0.0,False,
1000298,modulo_10,19,49,0.3877551020408163,False,
1000298,positional_base10,1,49,0.02040816326530612,False,
1000298,standard_tolerance_2,1,49,0.02040816326530612,False,2.0
1000298,standard_tolerance_5,2,49,0.04081632653061224,False,5.0
1000298,cross_level_all_descendants,0,42,0.0,False,
1000298,partial_summation,1,49,0.02040816326530612,False,
1000299,modulo_10,14,36,0.3888888888888889,False,
1000299,positional_base10,4,36,0.1111111111111111,False,
1000299,standard_tolerance_2,6,36,0.16666666666666666,False,2.0
1000299,standard_tolerance_5,6,36,0.16666666666666666,False,5.0
1000299,cross_level_all_descendants,0,16,0.0,False,
1000299,partial_summation,5,36,0.1388888888888889,False,
1000300,modulo_10,2,22,0.09090909090909091,False,
1000300,positional_base10,0,22,0.0,False,
1000300,standard_tolerance_2,0,22,0.0,False,2.0
1000300,standard_tolerance_5,0,22,0.0,False,5.0
1000300,cross_level_all_descendants,0,4,0.0,False,
1000300,partial_summation,0,22,0.0,False,
1000301,modulo_10,2,22,0.09090909090909091,False,
1000301,positional_base10,0,22,0.0,False,
1000301,standard_tolerance_2,0,22,0.0,False,2.0
1000301,standard_tolerance_5,1,22,0.045454545454545456,False,5.0
1000301,cross_level_all_descendants,0,8,0.0,False,
1000301,partial_summation,0,22,0.0,False,
1000302,modulo_10,6,22,0.2727272727272727,False,
1000302,positional_base10,0,22,0.0,False,
1000302,standard_tolerance_2,1,22,0.045454545454545456,False,2.0
1000302,standard_tolerance_5,4,22,0.18181818181818182,False,5.0
1000302,cross_level_all_descendants,0,6,0.0,False,
1000302,partial_summation,0,22,0.0,False,
1000303,modulo_10,2,3,0.6666666666666666,True,
1000303,positional_base10,2,3,0.6666666666666666,True,
1000303,standard_tolerance_2,2,3,0.6666666666666666,True,2.0
