khipu_id,total_cords,max_level,total_tests,total_matches,overall_match_rate,has_multi_level_summation,levels_tested,level_statistics,error
1000038,5.0,2.0,2.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 2, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(nan), 'avg_confidence': np.float64(1.0)}}",
1000039,64.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000040,101.0,2.0,12.0,1.0,0.08333333333333333,False,1.0,"{'level_2.0': {'tests_performed': 12, 'matches': 1, 'match_rate': 0.08333333333333333, 'avg_difference': np.float64(16.75), 'avg_confidence': np.float64(1.0)}}",
1000041,48.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000042,73.0,2.0,7.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 7, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(27.714285714285715), 'avg_confidence': np.float64(1.0)}}",
1000043,21.0,2.0,9.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 9, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(122.22222222222223), 'avg_confidence': np.float64(1.0)}}",
1000044,28.0,2.0,12.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 12, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(28.333333333333332), 'avg_confidence': np.float64(1.0)}}",
1000045,314.0,2.0,32.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 32, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(39.34375), 'avg_confidence': np.float64(1.0)}}",
1000046,20.0,2.0,1.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 1, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(26.0), 'avg_confidence': np.float64(1.0)}}",
1000047,71.0,2.0,26.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 26, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(nan), 'avg_confidence': np.float64(1.0)}}",
1000048,21.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000049,22.0,2.0,9.0,1.0,0.1111111111111111,False,1.0,"{'level_2.0': {'tests_performed': 9, 'matches': 1, 'match_rate': 0.1111111111111111, 'avg_difference': np.float64(nan), 'avg_confidence': np.float64(1.0)}}",
1000050,54.0,2.0,5.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 5, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(213.4), 'avg_confidence': np.float64(1.0)}}",
1000051,29.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000052,42.0,3.0,7.0,1.0,0.14285714285714285,True,2.0,"{'level_2.0': {'tests_performed': 6, 'matches': 1, 'match_rate': 0.16666666666666666, 'avg_difference': np.float64(11.5), 'avg_confidence': np.float64(1.0)}, 'level_3.0': {'tests_performed': 1, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(24.0), 'avg_confidence': np.float64(1.0)}}",
1000053,287.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000054,20.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000055,11.0,2.0,4.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 4, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(30.0), 'avg_confidence': np.float64(1.0)}}",
1000056,42.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000057,163.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000058,53.0,2.0,15.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 15, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(38.6), 'avg_confidence': np.float64(1.0)}}",
1000059,15.0,2.0,2.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 2, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(74.0), 'avg_confidence': np.float64(1.0)}}",
1000060,27.0,3.0,12.0,1.0,0.08333333333333333,True,2.0,"{'level_2.0': {'tests_performed': 11, 'matches': 1, 'match_rate': 0.09090909090909091, 'avg_difference': np.float64(21.0), 'avg_confidence': np.float64(0.9636363636363636)}, 'level_3.0': {'tests_performed': 1, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(78.0), 'avg_confidence': np.float64(1.0)}}",
1000061,7.0,3.0,2.0,0.0,0.0,True,2.0,"{'level_2.0': {'tests_performed': 1, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(8.0), 'avg_confidence': np.float64(1.0)}, 'level_3.0': {'tests_performed': 1, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(32.0), 'avg_confidence': np.float64(1.0)}}",
1000062,7.0,3.0,2.0,0.0,0.0,True,2.0,"{'level_2.0': {'tests_performed': 1, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(8.0), 'avg_confidence': np.float64(1.0)}, 'level_3.0': {'tests_performed': 1, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(16.0), 'avg_confidence': np.float64(1.0)}}",
1000063,357.0,2.0,18.0,1.0,0.05555555555555555,False,1.0,"{'level_2.0': {'tests_performed': 18, 'matches': 1, 'match_rate': 0.05555555555555555, 'avg_difference': np.float64(nan), 'avg_confidence': np.float64(1.0)}}",
1000064,23.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000065,101.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000066,7.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000067,13.0,2.0,1.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 1, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(198.0), 'avg_confidence': np.float64(1.0)}}",
1000068,8.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000069,6.0,2.0,1.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 1, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(10.0), 'avg_confidence': np.float64(1.0)}}",
1000070,11.0,2.0,2.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 2, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(2928.5), 'avg_confidence': np.float64(1.0)}}",
1000071,55.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000072,13.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000073,11.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000074,20.0,2.0,1.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 1, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(nan), 'avg_confidence': np.float64(0.9800000000000001)}}",
1000075,11.0,2.0,3.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 3, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(12609.333333333334), 'avg_confidence': np.float64(1.0)}}",
