khipu_id,pc1,pc2,cluster_kmeans,cluster_hierarchical
1000165,-0.31207198343652515,1.2959915013663625,3,3
1000166,-0.7537596260651549,0.6555127507613697,3,3
1000167,-0.9821522827541324,0.6444299217396148,3,3
1000168,-3.5504144187854787,-4.292141419733255,1,5
1000169,-1.1321589832283026,-0.2850881699778543,3,3
1000170,-0.48883017713591886,0.7203117795525651,3,3
1000171,-1.4746543790623512,-0.01573334615862245,3,3
1000172,-0.946947724497032,0.28080729580578995,3,3
1000173,-2.085782055847635,-1.086246248113894,1,3
1000174,-1.4686657683126176,-3.6556247594182594,6,4
1000176,-0.5491140895703119,-0.10542271055062619,3,3
1000177,-1.0453590012824667,-2.330903629844934,5,2
1000178,-0.8245394932529309,0.8230127702980882,3,3
1000179,-0.8951363638014356,0.8052551994102802,3,3
1000180,0.7117271158849571,0.013644742186311705,3,3
1000182,-3.5504144187854787,-4.292141419733255,1,5
1000183,8.916096648344373,-2.409585647093984,4,0
1000184,0.5782779384941931,-0.33129687515615386,2,6
1000185,0.03005376019078156,1.6480189662815299,3,1
1000186,-1.6116264693087916,-0.6689819116882185,3,3
1000187,-1.6510926134489934,-0.35142549359699815,3,3
1000188,-0.6565730115553522,0.7410335309941714,3,3
1000189,-1.6679543776825447,-0.26918233656477375,3,3
1000190,-1.8237324397715864,-1.582489386744355,1,3
1000191,-1.8488642940246671,-0.6324312917841702,1,3
1000192,0.04595870866376964,0.8022351491455347,3,3
1000194,-1.8136585193093258,-1.2246039539468812,1,3
1000195,-3.4836038395367988,-4.665553058306888,1,5
1000196,-4.213506063406166,-7.231081142943707,1,5
1000197,0.10546974288279648,0.5628328992174374,3,3
1000198,2.1785681928532514,0.9905147928010816,0,1
1000199,-0.8395402764716294,0.6726543780324532,3,3
1000200,-0.13564726396056767,0.6334561192904494,3,3
1000201,1.2747145958132005,1.5758099043272242,0,1
1000204,-1.215243166163231,-1.081591256604517,3,3
1000205,-3.0381572595194037,-3.130163857666626,1,5
1000206,-1.5300535977399847,0.0657508407130275,3,3
1000207,-0.45973534725463516,0.6546565790699744,3,3
1000208,-0.16498738780608424,1.773617912486934,3,1
1000209,-0.19475599600032606,1.5080839430506678,3,1
1000210,-0.91094981477162,0.5711170297965725,3,1
1000211,-0.7441860933555999,0.7827282482562135,3,3
1000212,-0.3190791043106139,0.9935549482687113,3,3
1000213,-0.6871783696580467,0.3671943110991203,3,3
1000214,-0.48328731487648857,1.0207881246256187,3,3
1000216,-1.6193648655016866,-0.5407544373455982,3,3
1000217,-2.1414109803881174,-1.9620436604589935,1,5
