khipu_id,PROVENANCE,cluster,anomaly_score,is_anomaly_isolation,is_anomaly_statistical,num_outlier_flags,is_anomaly_topology,num_topology_flags,num_methods_flagged,high_confidence_anomaly
1000168,,1,-0.4893781235183427,False,False,1,False,0,0,False
1000169,Hacienda Ullujalla y Callengo,3,-0.3637667432723745,False,False,0,False,0,0,False
1000170,Hacienda Ullujalla y Callengo,3,-0.35060682378397406,False,False,0,False,0,0,False
1000171,,3,-0.3675761757073548,False,False,0,False,0,0,False
1000172,"""Hacienda Copara, Nazca""",3,-0.35635321429997224,False,False,0,True,1,1,False
1000173,,1,-0.3881784636789691,False,False,0,False,0,0,False
1000174,"Rancho San Juan, Ica Valley",6,-0.47572784905960147,False,False,0,True,1,1,False
1000176,,3,-0.38371960999713106,False,False,0,True,1,1,False
1000177,,5,-0.5159844615220669,False,False,0,True,2,1,False
1000178,,3,-0.3470942087378698,False,False,0,False,0,0,False
1000179,Hacienda Ullujalla y Callengo,3,-0.34530629475270463,False,False,0,False,0,0,False
1000180,,3,-0.38641597807218214,False,False,0,False,0,0,False
1000182,Hacienda Ullujalla y Callengo,1,-0.5255943021678268,True,False,1,False,0,1,False
1000183,,4,-0.6102578187005456,True,False,1,False,0,1,False
1000184,,2,-0.4126553910069789,False,False,0,True,1,1,False
1000185,,3,-0.37319068702279545,False,False,0,False,0,0,False
1000186,,3,-0.375390149899349,False,False,0,False,0,0,False
1000187,,3,-0.38007925294374967,False,False,0,False,0,0,False
1000188,,3,-0.3498767709136439,False,False,0,False,0,0,False
1000189,,3,-0.3732323436118154,False,False,0,False,0,0,False
1000190,,1,-0.45150870076960464,False,False,0,False,0,0,False
1000191,,1,-0.3791453624912635,False,False,0,False,0,0,False
1000192,,3,-0.3593984658172152,False,False,0,False,0,0,False
1000194,,1,-0.39426208178654615,False,False,0,False,0,0,False
1000195,,1,-0.5008778918543958,False,False,1,False,0,0,False
1000196,,1,-0.5911645975387225,True,False,1,False,0,1,False
1000197,,3,-0.3603537932913335,False,False,0,False,0,0,False
1000198,,0,-0.4160183735381223,False,False,0,False,0,0,False
1000199,,3,-0.34317855164487165,False,False,0,False,0,0,False
1000200,,3,-0.36950997154993737,False,False,0,False,0,0,False
1000201,Aankoop,0,-0.40856773052768003,False,False,0,False,0,0,False
